Year,Product Type,Product/Title,Plot/Notes
2004,Car,"Ford""The One""",A Ford GT is shown driven a speed on a racetrack.
2004,Gaming,"PlayStation 2""Going Back""","TV promo for Jet Li: Rise to Honor (Full Version of ""Going Back"" Aired later)."
2004,Film,50 First Dates,TV promo.
2004,Film,Hidalgo,TV promo.
2004,Film,Starsky & Hutch,TV promo.
2004,Film,Secret Window,TV promo.
2004,Film,The Alamo,TV promo.
2004,Film,Troy,TV promo.
2004,Film,Van Helsing,TV promo.
2004,Potato chips,"Lay's""Dentures""","A teen drops a bag of Lay's chips. An elderly woman tries to get the chips, only to get knocked over by an elderly man's cane. The man grabs the bag, only to realize that the woman has his dentures. The teen comes back and takes the Lay's chips, and plants a kiss on the man."
2004,PSA,"Truth ""Shards O'Glass""","An executive for a popsicle company, ""Shards O' Glass,""  provides disclaimers for their product - a popsicle with shards of glass in it, clearly unsafe and deadly - and posed the question, ""What if all companies sold products like tobacco?""[15]"
2004,Credit card,"MasterCard""Errands""","Homer Simpson is doing some errands such as buying beer instead of diapers, an oil change, and a haircut. Homer seems to know of the narrator's existence, finally being fed up with him at Moe's Bar, muttering the words ""stupid voice-over guy""."
2004,Soft drink,"Pepsi""Bear's Disguise""","When two grizzly bears rob a cottage, they find no Pepsi anywhere. One of the bears steals the resident's ID and disguises himself as the person. Then, he buys Pepsi at a convenience store."
2004,Soft drink,"Pepsi""Hendrix""","In Seattle, 1953, a young Jimi Hendrix walks down a city sidewalk. When he sees a Pepsi machine and Coke machine, he chooses the Pepsi machine. At the machine, he sees a Fender Telecaster electric guitar in a pawn shop. If he had gone to the Coke machine, he would have bought an accordion. The screen then says, ""Whew...that was a close one."" In the background, Hendrix's ""Purple Haze"" is playing; at first as the original recording, then on accordion."
2005,Beer,"Budweiser""Audition""","All kinds of animals come to the Budweiser Clydesdale farm to become a Clydesdale. A driver looks at the donkey from last year's Budweiser commercial and says, ""Now look what you've started."""
2005,Beer,"Budweiser""Welcome Home""","Pedestrians are in an airport, minding their own business. People start clapping. Then, everyone is clapping, as it is revealed they are clapping for soldiers coming home from war. At the end, a title card says, ""Thank you.""Director: Joe Pytka."
2005,Beer,"Heineken""Beer Run""","Brad Pitt buys a six-pack of Heineken at a corner shop. Soon, he is being chased by a mob of paparazzi. It ends with an anonymous phone call.Director: David Fincher"
2005,Car,"Ford""Gang""","A tough biker gang is going to the bar, only to be scared off by Fords."
2005,Credit card,MastercardIcons,Features classic advertisting mascots eating dinner.
2005,Film,Batman Begins,TV promo.
2005,Film,Be Cool,TV promo.
2005,Film,Constantine,TV promo.
2005,Film,Hitch,TV promo.
2005,Film,Robots,TV promo.
2005,Film,Sahara,TV promo.
2005,Film,The Pacifier,TV promo.
2005,Film,War of the Worlds,TV promo.
2005,Soft drink,"Diet Pepsi""The Diet Pepsi Truck""","P. Diddy is late for an awards show, so he hitches a ride on a Diet Pepsi truck. After the arrival, everyone starts driving Diet Pepsi trucks, being the next big thing."
2005,Technology,OlympusLet Your Pictures Groove,"Olympus has created two commercials for this weekend's Super Bowl XXXIX broadcast that are high-energy odysseys of music, photography and dance. The spots - which promote Olympus m:robe 500, the first digital music player that takes pictures - feature funky electronica music, cool Poplockin' dance techniques and dazzling special effects.[neutrality is disputed][citation needed]"
2006,Film,16 Blocks,TV promo.
2006,Film,Cars,TV promo.
2006,Film,Mission: Impossible III,TV promo.
2006,Film,Pirates of the Caribbean: Dead Man's Chest,TV promo.
2006,Film,Poseidon,TV promo.
2006,Film,Running Scared,TV promo.
2006,Film,The Shaggy Dog,TV promo.
2006,Film,V for Vendetta,TV promo.
2008,Beer,"Bud Light""Cavemen""",Three cavemen are trying to carry a cooler of Bud Light to a party. A friend says that he has invented the wheel. But the wheel is not working when they use it as hoister to carry the Bud Light.
2008,Beer,"Budweiser""Training""","For the Budweiser Clydesdales this year, Hank the Clydesdale is not picked. A dalmatian sees this and offers to train Hank for next year. In a tribute to Rocky, the two train like the training in the famous movie. The year after that, Hank becomes a Budweiser Clydesdale and gives a high five to his trainer."
2008,Car,"Audi""The Godfather""","Spoofing The Godfather, the horse's head is replaced with the front of a Rolls-Royce."
2008,Film,Iron Man,TV promo.
2008,Film,Jumper,TV promo.
2008,Film,The Chronicles of Narnia: Prince Caspian,TV promo.
2008,Film,Wanted,TV promo.
2008,Film,You Don't Mess with the Zohan,TV promo.
2008,Soft drink,"Coca-Cola""It's Mine""","At the Macy's Thanksgiving Day Parade, the Underdog and Stewie Griffin balloons chase after a Coke balloon, with New Yorkers watching from many places. But instead, Charlie Brown triumphantly catches the Coke."
2008,Soft drink,"SoBe""Thriller""",Naomi Campbell and lizards do the famous Thriller dance.
2008,Website,"E*Trade""Baby""","The birth of the E*Trade baby, the baby explains that he can use E*Trade, you can use it too."
2008,Website,"E*Trade""Clown""",The E*Trade Baby has rented a clown with his savings.
2009,Beer,"Bud Light""Conan""","Conan O'Brien says he will do an embarrassing Bud Light commercial, and he is promised it will only show in Sweden. He watches it in Times Square."
2009,Beer,"Bud Light""Drinkability""",Two guys are at a ski resort. One guy shows how some skiers have more drinkability than others by drawing a ramp and some trees. The second skier crashes into the trees.
2009,Beer,"Budweiser""Fetch""",A farmer plays fetch with his Dalmatian. A jealous Clydesdale goes and fetches a tree branch.
2009,Beer,"Budweiser""True Love""","A Clydesdale falls in love with a dancing circus horse. He searches for her, until they both escape together from the circus. Two clowns watch this, with one of them saying, ""I didn't know Daisy was dating."""
2009,Beer,"Miller Lite""Highlight""","The Miller Lite guy screams, ""Highlight!"""
2009,Car,"Audi""The Chase""","Jason Statham is in a car chase, stealing different cars, ending up in different periods of time."
2009,Car,"Hyundai Motor Company""Epic Lap""","A Hyundai Genesis Coupe, driven by Rhys Millen is shown powersliding around a racetrack."
2009,Film,G.I. Joe: The Rise of Cobra,TV promo.
2009,Film,Land of the Lost,TV promo.
2009,Film,Monsters vs. Aliens,3-D TV promo.
2009,Film,Star Trek,TV promo.
2009,Film,Transformers: Revenge of the Fallen,TV promo.
2009,Film,Year One,TV promo.
2009,Food,"Doritos""Crystal Ball""","At the office, a worker ask if there will be free Doritos today. He then throws the crystal ball at a snack machine for Doritos, breaking the glass. An impressed worker asks if he will get a raise today, and throws the crystal ball at his boss in the groin. The first worker comes over, happily eating Doritos, and says, ""Not today!""Directors: Joseph and Dave Herbert (who won $1,000,000 for the ad)"
2009,Food,"Doritos""The Power of Crunch""","A man learns the power of crunch with a woman stripped down to her underwear, free money from an ATM, and a policeman being turned into a monkey."
2009,Manufacturing,"Bridgestone""The Potato Heads""","Mr. Potato Head is being nagged by his wife while driving. Soon, dodging sheep, they swerve, and Mrs. Potato Head's mouth flies off down a mountain. Mrs. Potato Head then sticks on her ""angry eyes""."
2009,Soft drink,"Pepsi""Forever Young""","A look through two generations, all to the Bob Dylan song ""Forever Young"" and its cover by will.i.am."
2009,Soft drink,"Pepsi""I'm Good""","Many men drinking Pepsi Max get hurt, then say ""I'm Good""."
2009,Soft drink,"Pepsi""PepSuber""","MacGruber changes his name to PepSuber.Cast: Will Forte, Kristen Wiig, Richard Dean Anderson"
2009,Restaurant,"Denny's""Mafia""","Three mobsters are thinking about killing a guy, and they ask the waitress for more chocolate dumdiddles and swirly gumdrops on their pancakes. Part of the 'Serious Breakfast' campaign."
2009,Website,"E*Trade""Singing Baby""",A web baby tries to express himself by singing.
2010,Beer,"Bud Light""Beer House""","Several people meet a man whose house is made out of Bud Light cans. He says that some of the cans are not empty, and the people start to rush and take the house apart."
2010,Beer,"Bud Light""Meteor""","When scientists see a meteor flying towards earth, they decide to party with Bud Light. The meteor turns out to be a rock, and they still party."
2010,Beer,"Bud Light""T-Pain Voice""","Men who hear about a Bud Light party talk like T-Pain. Soon, T-Pain shows up at the party."
2010,Beer,"Budweiser""Friends""","A Clydesdale and a calf are friends at a young age, though a fence separates them. Three years later, the two are reunited and the bull bursts through the fence to his friend."
2010,Beer,"Budweiser""Human Bridge""","When the bridge is out in a small town, the population form a human bridge so that a Budweiser truck can cross into town."
2010,Candy,"Snickers""Betty White""","Betty White is playing football and keeps getting tackled. A woman gives her a Snickers bar and says, ""Try this"". White turns back into a man. We[who?] then see Abe Vigoda being tackled, to which he responds, ""That hurt."" It is considered[by whom?] one of the best commercials in the Super Bowl. It was also nominated for an Emmy.[16]"
2010,Car,"Dodge Charger""Woman Are Shrill""","Men go over the rules of life which they hate. The final man thinks, ""And because I do this, I will drive the car I want to drive."" Narrated by Michael C. Hall."
2010,Car,"Hyundai""Creation""",We see a Hyundai being made.
2010,Car,"Hyundai""2020""","A parody of Brett Favre's anonymous retirement, showing him getting an MVP Award in 2020."
2010,Car,"Kia Motors""How You Like Me Now""","A teddy bear, a sock monkey, a robot, Muno from Yo Gabba Gabba!, and another toy are all living their PG-13 dreams while driving a Kia Sorento."
2010,Car,"Volkswagen""Punch Dub Days""","The first of their Punch Dub Days campaign features many people, including Stevie Wonder and Tracy Morgan, punching someone in the arm."
2010,Film,The Back-Up Plan,TV promo.
2010,Film,Iron Man 2,TV promo.
2010,Film,The Last Airbender,TV promo.
2010,Film,Prince of Persia: The Sands of Time,TV promo.
2010,Film,Robin Hood,TV promo.
2010,Film,Shutter Island,TV promo.
2010,Film,The Wolfman,TV promo.
2010,Food,"Doritos""Boyfriend""","A man is seen staring at a woman's butt as she walks into the other room. He then tries to start a conversation with the girlfriend's kid. When he reaches for a Dorito, the kid slaps him, saying, ""Keep your hands off my Mama, keep your hands off my Doritos."""
2010,Food,"Doritos""Dog""","A dog wants Doritos from a man sitting on a bench. The man says it'll have to speak, but it is wearing an anti-bark collar. The dog comes back, and attaches the collar to the man, who lies on the ground, speaking gibberish. The dog walks away with the bag of Doritos."
2010,Food,"Doritos""Funeral""","A man who recently faked his death is in his coffin, watching the Super Bowl and in a pool of Doritos. The casket flies open, and he screams, ""It's a miracle!"""
2010,Food,"Doritos""Tim""","At a gym, a man has stolen Doritos out of Tim's locker. His friend tries to warn him, but Tim transforms into a Dorito-wearing ninja."
2010,Manufacturing,"Bridgestone""Killer Whale""","Three men have a killer whale in their small van. They then release it into the sea. One guy says, ""Best bachelor party ever!"""
2010,Mobile phone,"Boost Mobile""Shuffle""","Celebrating the 25th anniversary of The Super Bowl Shuffle, the 1985 Chicago Bears do the Shuffle."
2010,Restaurant,"McDonald's""Check This""","In a 2010 NBA interpretation of the 1993 Showdown commercial, NBA stars Dwight Howard and LeBron James play a slam dunk version of H-O-R-S-E, with the same prize as before. Larry Bird, who stated ""no dunking"" in the original Showdown with Michael Jordan, cashes in by eating the Big Mac and fries prize after Howard shatters the backboard."
2010,Shoes,"Skechers""Shape-Ups""","Three people, including Joe Montana, talk about how great Shape-Ups are."
2010,Soft drink,"Coca-Cola""Africa""","A sleepwalking man walks in a forest of Africa, eventually reaching a refrigerator with a Coke bottle."
2010,Soft drink,"Coca-Cola""The Simpsons""","Mr. Burns goes bankrupt and loses everything. While in a walk in the park, he sees people enjoying his things and Coke bottles. Apu notices that Burns is sad, and gives him a Coke since he was carrying two armfuls of Coke. Milhouse is standing in a makeshift kite and bumps into the Coca-Cola logo. He says ""Ah Sorry Coke!"" while the theme tune plays."
2010,TV show,Late Show with David Letterman,"David Letterman, Oprah Winfrey, and Jay Leno are watching the Super Bowl."
2010,TV show,NFL Full Contact,"On Groundhog Day, the mayor pulls out a small football player who sees his shadow. The mayor declares six more weeks of football."
2010,Video Game,Dante's Inferno,"Cinematic trailer for the game, Dante's Inferno accompanied by Bill Withers' song, ""Ain't No Sunshine""."
2010,Website,"cars.com""Smart Kid #2""","A brand-new ""Smart Kid"" ad for cars.com."
2010,Website,"E*Trade""Date""",A date between two web babies goes awry.
2010,Website,"Focus on the Family.com""Miracle Baby""",Pam Tebow talks about her miracle baby Tim Tebow. This ad drew much criticism from pro-choice[clarification needed] groups.
2010,Website,"GoDaddy""Massage""",Danica Patrick gets a massage. The massage therapist realizes that she's the GoDaddy spokeswoman. Then he then tries to impress Danica by opening her blouse.
2010,Website,"Google""Searching""","An anonymous user (most likely a man) is using Google for help by using its search engine. Over the course, it tells a story about how the user goes to Paris for college, meets a French woman, falls in love, buys her chocolate, gets married, and has a child."
2010,Website,"Monster.com""Talented Beaver""",A beaver that plays the fiddle becomes a big hit.
2011,Beer,"Bud Light""Hack Job""","A couple appears on a home makeover show called ""Hack Job"", discovering the only thing they have done to their kitchen was put a bucket of Bud Light on the counter."
2011,Car,"Audi""Old Luxury""",Two people escape from a fancy prison.Cameos: Kenny G
2011,Car,"Chevrolet""Elderly Home""",People in an elderly home try to figure out a Chevy commercial.
2011,Car,"Chevrolet""Miss Evelyn""",Two guys narrate their idea for a Chevy Camaro commercial.
2011,Car,"Chrysler 200""Born of Fire""","A narrator talks about how Detroit has its history, but it should be respected like any other town. Rapper Eminem is driving through Detroit in his Chrysler, until he reaches the Fox Theatre. He concludes that, ""This is the Motor City, and this is what we do."" The song ""Lose Yourself"" by said artist is playing throughout the commercial. The commercial is two minutes long, and one of the longest commercials in Super Bowl history. The ad received critical acclaim."
2011,Car,"Ford""Race""",Six people prepare to race in their Fords.
2011,Car,"Volkswagen""Black Beetle""","A computer-generated black beetle runs fast, as it is referencing the new Volkswagen model."
2011,Car,"Volkswagen""The Force""","A kid dressed as Darth Vader tries the Force on random objects, but fails. When his father comes home in his Volkswagen, the kid tries to use the Force to start the engine. He succeeds, or so he thinks. This was voted #9 on YouTube's Top 10 Videos of 2011."
2011,Film,Captain America: The First Avenger,TV promo.
2011,Film,Cowboys & Aliens,TV promo.
2011,Film,Pirates of the Caribbean: On Stranger Tides,TV promo.
2011,Film,Thor,TV promo.
2011,Film,Transformers: Dark of the Moon,TV promo.
2011,Food,"Doritos""Love""",A man goes around the office with a creepy obsession for Doritos.
2011,Food,"Doritos""Teasing""","A boyfriend teases his girlfriend's dog by waving Doritos around from the inside of a glass door. Instead of the dog running into the door, the dog crashes through the door, squishing the man."
2011,Soft drink,"Pepsi""Love Hurts""","A wife keeps putting down her husband's spirits. When the husband thinks his wife will be mad that he is drinking PepsiMax, she too is drinking PepsiMax. When the man then spots a hot jogger, the woman accidentally knocks out the woman with her can."
2011,Store,"Best Buy""Upgrades""","Ozzy Osbourne tries to shoot a Best Buy commercial for 4G phones, but the G keeps getting upgraded. Pretty soon, Osbourne is replaced by Justin Bieber.Cast: Ozzy Osbourne, Justin Bieber, Sharon Osbourne, Jack Osbourne"
2012,Beer,"Bud Light""Factory""",A factory is working on the new Bud Light Platinum.
2012,Beer,"Budweiser""The End of Prohibition""",The reactions of a town at the end of Prohibition are shown
2012,Beer,"Budweiser""Eternal Optimism""","Various moments in 20th Century history are shown, all accompanied by people drinking Budweiser."
2012,Candy,"M&M's""Just My Shell""","At a party, a brown-shelled M&M is mistaken for being naked. As a result, the red M&M tears off its skin and dances to ""Sexy and I Know It"" by LMFAO."
2012,Car,"Audi""Vampire Party""","A group of vampires are having a party in the woods. The vampire in charge of drinks (blood types) arrives in his Audi. The bright lights of the car kills all of the vampires, with him wondering where everyone went afterwards."
2012,Car,"Chrysler""Halftime in America""",Clint Eastwood recounts how the automotive industry survived the Great Recession.
2012,Car,"Fiat""Seduction""","A man walks through a street to discover a beautiful woman (Catrinel Menghia) standing on a parking space, who proceeds to approach and seduce him, when successfully doing so he then discoved he was about to kiss a Fiat 500 Abarth.Cast: Catrinel Menghia"
2012,Car,"Hyundai""Cheetah""","Two men try to see which is faster: a cheetah or a Hyundai. Once the cheetah is released, it starts to instead chase after its cage handler."
2012,Film,Act of Valor,TV promo.
2012,Film,The Avengers,TV promo.
2012,Film,Battleship,TV promo.
2012,Film,John Carter,TV promo.
2012,Film,The Lorax,TV promo.
2012,Soft drink,"Pepsi""The King's Court""","People in the Middles Ages try to entertain their king (Elton John) for a Pepsi. While the first person fails, a mysterious person (Season 1 X Factor winner Melanie Amaro) wins the Pepsi by singing Aretha Franklin's ""Respect""."" After she wins, she overthrows the king and gives Pepsi to all the town.Cast: Elton John, Melanie Amaro, Flavor Flav"
2012,Store,"Best Buy""Phone Innovators""","An ad featuring the creators of the cameraphone, Siri, and the first text message. The creators of Words with Friends also appear parodying the incident involving Alec Baldwin playing the game on an airplane."
2013,Car,"Audi""Prom""",A guy getting ready for the prom. Drives his mom's Audi to the prom.
2013,Truck,"Dodge Ram""So God Made a Farmer""",Portions of the speech by Paul Harvey are played over a background of farming activities in the United States.
2013,Film,Fast and Furious 6,TV promo.
2013,Film,Iron Man 3,TV promo.
2013,Film,Oz the Great and Powerful,TV promo.
2013,Film,Star Trek Into Darkness,TV promo.
2013,Food,Wonderful Pistachios,"Psy does his ""Gangnam Style"" dance to promote pistachios.[17]"
2014,Product type,Advertiser/Product,Title,Plot/Notes
2014,Beer,Budweiser,"""Puppy Love""",.
2014,Car,Audi,"""Doberhuahua""",.
2014,Car,Kia K900,"""The Truth""","Morpheus offers a couple of choice of a red key or a blue key (with the red key being a Kia K900). As they drive on the Kia, Morpheus accompanies them while singing to ""Nessun Dorma"" as nods to The Matrix trilogy start flying in to the scene.[18]"
2014,Car,Volkswagen,"""Wings""","Every time a VW hits 100,000 miles, a German engineer gets their wings."
2014,Car accessories,WeatherTech,"""You Can't Do That""",.
2014,Food,Doritos,"""Time Machine""","A child scams a neighbor into giving him his bag of Doritos, by claiming he had built a time machine powered by them."
2014,Store,RadioShack,"""The '80s Called""",A RadioShack store is cleared out by several 1980s pop culture icons.[19]
2014,Soft drink,Coca-Cola,It's Beautiful,"Themed around multiculturalism, the ad showed scenes depicting scenes of Americans of various ethnicities, including a same-sex couple, the first depicted in a Super Bowl ad; set to the rendition of the patriotic hymn America the Beautiful sung in different languages. Upon its release, the commercial was controversial. The ad later re-aired at Super Bowl LI."
2015,Adhesives,Loctite,"""Positive Feelings""",People dancing with Loctite fanny packs.[20]
2015,Antifungal medication,Jublia """Tackle It""",Antifungal topical.[21]
2015,Beer,Budweiser """Lost Dog""",A little yellow labrador gets lost and finds his way home.[22]
2015,Beer,Bud Light """Coin""","As part of the beer's ongoing ""Up for Whatever"" campaign, a randomly-chosen person plays a life-sized version of Pac-Man.[23]"
2015,Candy,Skittles """It Will be Settled""",A town settles their disputes with arm wrestling contests.[24]
2015,Candy,Snickers """The Brady Bunch""","In The Brady Bunch episode, a hungry Marcia (Danny Trejo) is stressing out and ""her"" parents settle her down with a Snickers bar.[25]"
2015,Car,BMW """Newfangled Idea""","No one knew how big the Internet would become, as shown in a 1994 clip of Today show hosts Katie Couric and Bryant Gumbel. 21 years later, the two are in an all-electric BMW i3, which is made in a wind-powered factory.[21]"
2015,Car,Chevrolet """Super Bowl Blackout""","The screen goes blank and then asks what if you lost TV service and your screen went black as the game started, and that its latest vehicle has Wi-Fi ability.[26]"
2015,Car,Dodge """Wisdom""","Centenarians give advice about life, as the car company celebrates its 100th anniversary.[21]"
2015,Car,Fiat """The Fiat Blue Pill""","A husband loses his blue pill, which bounces around town until it lands in a Fiat 500, making the car slightly bigger.[27]"
2015,Car,Jeep """Beautiful Lands""","Advertisement for the Jeep Renegade, done to the song ""This Land Is Your Land"", and applied to lands all over the world.[28]"
2015,Car,Lexus """Let's Play""","A miniature model of the Lexus RC 350 shows off some drift parking techniques, followed by a full-size model.[21]"
2015,Car,Kia Motors """The Perfect Getaway""","Pierce Brosnan is pitched a movie role where he drives a Kia Sorento up a snow-covered mountain road but instead of action-adventure mission with snipers, tanks, and explosions, he encounters animals and safe drive.[29]"
2015,Car,Mercedes-Benz """Fable""",A retelling of The Tortoise and the Hare where the tortoise drives a Mercedes-AMG GT.[30]
2015,Car,Nissan """With Dad""",A race car driver balances his work life and his family. First public appearance of Nissan GT-R LM Nismo.[31][32][33]
2015,Car,Toyota """How Great I Am""",Footage of Paralympian snowboarder and Dancing with the Stars competitor Amy Purdy juxtaposed with an audio promo by Muhammad Ali.[21]
2015,Car,Toyota """My Bold Dad""",The aspects of being a dad.[21]
2015,Car accessories,WeatherTech """America At Work""",The American company makes car floor mats.[21][34]
2015,Credit card,Discover """Surprise""","A guy contacts his service representative when he learns that he can get his credit score, which is good because he does not like surprises. He then opens the door and sees a screaming goat in his apartment.[35]"
2015,Feminine care products,Always """Like a Girl""","A new look at the phrase of doing things ""like a girl"".[21][36]"
2015,Film,Avengers: Age of Ultron ,TV promo.[37]
2015,Film,The Divergent Series: Insurgent ,TV promo.[37]
2015,Film,Fifty Shades of Grey ,TV promo.[37]
2015,Film,Furious 7 ,TV promo.[37][38]
2015,Film,Jurassic World ,TV promo.[37]
2015,Film,Minions """Super Fans""",TV promo. The Minions are shown to enjoy the game with their own ways.[37][39]
2015,Film,Pitch Perfect 2 ,TV promo[37]
2015,Film,Ted 2 ,TV promo. Tom Brady is featured in the movie.[37][40]
2015,Film,Terminator Genisys ,TV promo.[37]
2015,Film,Tomorrowland ,TV promo.[21][37]
2015,Food,Avocados From Mexico """First Draft Ever""",Doug Flutie and Jerry Rice provide color commentary on the first ever draft over animals and plants.[41]
2015,Food,Doritos """Middle Seat""","An airline passenger tries not to let the seat next to him be occupied. / Winner in the Doritos ""Crash the Super Bowl"" contest.[42][43]"
2015,Food,Doritos """When Pigs Fly""","A boy creates a contraption that allows pigs to fly so he can get some Doritos. / Runner-up in the Doritos ""Crash the Super Bowl"" contest.[42][43][44]"
2015,Food,McDonald's """Pay With Lovin'""","A McDonald's restaurant accepts alternatives to money such as compliments, silly dances, and calling mom.[21][24]"
2015,Gaming,Clash of Clans """Revenge""",Liam Neeson plans to avenge his loss in the game.[45][46]
2015,Gaming,Game of War: Fire Age """Who I Am""",Kate Upton's character leads her troops against an invading army.[47]
2015,Insurance,Esurance """Sorta Pharmacy""","A woman gets service by ""Sorta Greg"" (Bryan Cranston), an eccentric pharmacist.[21]"
2015,Insurance,Esurance """Sorta Your Mom""","A student is picked up from school by a badly-driving woman who claims to be ""sorta your mom"" (Lindsay Lohan).[48]"
2015,Insurance,Nationwide """Boy""",A boy talks about not being able to do things like ride a bike or other childhood activities because he died from an accident.[49]
2015,Insurance,Nationwide """Invisible Mindy""","Mindy Kaling concludes that based on how she's been treated by insurance companies, she might actually be invisible.[21]"
2015,Lingerie,Victoria's Secret ,Footage of model shoots from the past 18 months.[50]
2015,Phone,Sprint """Super Apology""",A caption-styled ad with curse words changed with pictures of the screaming goat and a donkey.[21]
2015,Phone,T-Mobile """#KimsDataStash""",Kim Kardashian asks viewers to help save the data from cell phone service packages so that she can be seen in action.[24][51][52]
2015,Phone,T-Mobile """One Upped""",Chelsea Handler and Sarah Silverman try to one-up each other when they use Wi-Fi calling.[53][54]
2015,Phone accessory,Mophie """All-Powerless""",Weird things happen around the world because God's smartphone battery runs out.[21]
2015,Service,No More """30 Second""",A woman places a call to 911 pretending to order a pizza but is actually calling for help from domestic abuse.[24]
2015,Service,Weight Watchers """All You Can Eat""","After being inundated with food ads, it is time to make plans.[21][55]"
2015,Shoes,Skechers """Hall""",Pete Rose talks about being in the Hall and walking in his Skechers shoes. It turns out the Hall is in his own house and he even is not supposed to be in there.[21]
2015,Skincare products,Dove+Men """Real Strength""",Video clips of kids of various ages calling out for their dads.[21][24][56][57]
2015,Soft Drink,Coca-Cola """Make It Happy""",A spill of the drink in a data center causes Internet bullying messages to transform into positive messages.[21][24]
2015,Software,TurboTax """Boston Tea Party""",The British work a deal to call off the American Revolution by stating that filing taxes would be free.[58]
2015,Technology,Microsoft """Braylon O'Neill""",A boy with two prosthetic legs is able to play sports and have a life.[21]
2015,Website,Wix.com """It's That Easy""",5 former NFL stars start new careers with the help of website builder Wix.com.[21]
2015,Website,GoDaddy.com """Working""",A guy misses the Super Bowl party so he can work on his e-business.[21]
2015,Website,Squarespace """Om""","Jeff Bridges hums ""Om"" next to a sleeping couple, and advertises his website that he built with Squarespace.[21]"
2016,Product type,Advertiser/Product Title,Plot/Notes
2016,Beer,Bud Light """Bud Light Party""",Amy Schumer and Seth Rogen form a political party.[59]
2016,Car,Jeep """4x4ever""",[60][61]
2016,Car,Jeep """Portraits""","In honor of the brand's 75-year anniversary, a montage of portraits of famous Jeep owners and users is presented.[61]"
2016,Car,Hyundai Genesis """First Date""","A father (Kevin Hart) lets his son borrow his Hyundai Genesis for his first date, but follows him around using the vehicle's tracking system, culminating with him using an actual helicopter to track him.[62]"
2016,Car,Honda Ridgeline """A New Truck to Love""","A herd of sheep sing Queen's ""Somebody to Love"", while the truck bed audio system of the new Ridgeline is demonstrated.[62]"
2016,Car accessories,WeatherTech """Resources""",Highlights the manufacturing process and the employees who produce WeatherTech products.[63]
2016,Clothing,Marmot """Love the Outside""","A camper hangs outdoors with a marmot, and is slapped in the face when he attempts to kiss it.[64]"
